CVX,F,GM,HMC,TM,TSLA,XOM
-4.981%,-3.472%,16.066%,16.695%,-0.868%,-9.550%,0.304%
16.891%,25.439%,17.464%,26.962%,2.415%,46.274%,17.358%
10.712%,-1.706%,-3.194%,-5.018%,14.956%,24.325%,1.912%
8.782%,0.888%,19.795%,21.710%,-9.090%,12.451%,-5.634%
21.253%,17.371%,11.111%,1.283%,5.273%,-14.874%,4.494%
4.429%,6.271%,4.701%,11.942%,5.496%,-1.121%,9.143%
2.526%,-1.641%,-5.796%,-0.418%,-3.390%,6.215%,0.023%
1.974%,0.699%,25.910%,3.653%,10.088%,-11.871%,4.829%
9.644%,2.151%,2.271%,-0.236%,5.338%,8.714%,2.943%
-8.735%,-2.797%,-6.124%,-3.938%,2.860%,1.103%,-0.249%
-5.298%,-4.950%,-6.595%,-13.776%,-3.119%,7.061%,-5.732%
9.520%,6.250%,8.672%,7.549%,2.020%,5.404%,1.355%
9.606%,12.854%,20.621%,3.263%,-0.664%,43.653%,-2.344%
-7.182%,-1.415%,12.354%,6.320%,0.725%,2.761%,-7.471%
3.630%,5.171%,8.778%,1.313%,4.189%,-7.685%,3.946%
24.138%,11.913%,-2.263%,-10.063%,7.097%,-11.361%,3.866%
3.239%,9.647%,-13.053%,-11.398%,-7.811%,-7.077%,3.418%
6.485%,14.264%,-3.702%,-6.378%,-1.476%,23.801%,-7.526%
3.221%,-3.783%,-16.263%,-13.329%,-5.132%,-19.195%,-5.776%
12.610%,11.483%,-2.747%,2.031%,-2.708%,-12.920%,-5.143%
-9.878%,-16.426%,-18.640%,-17.890%,-7.333%,-11.189%,-3.012%
13.183%,13.123%,31.986%,14.169%,5.462%,32.377%,6.501%
-1.382%,-3.493%,3.744%,5.378%,-8.131%,-7.249%,3.110%
-7.775%,-8.278%,-25.776%,-15.825%,-12.774%,-3.759%,-18.590%
26.916%,25.914%,19.375%,22.312%,6.539%,-14.217%,7.151%
0.478%,1.332%,3.964%,3.338%,6.397%,-14.433%,7.362%
-0.137%,-1.326%,-15.456%,-17.061%,-7.523%,-36.733%,-6.694%
5.177%,-3.048%,16.165%,17.145%,7.710%,40.623%,8.574%
-5.258%,-7.614%,-10.659%,-1.475%,-7.607%,18.756%,4.633%
0.540%,2.384%,10.972%,-5.317%,4.245%,0.851%,2.002%
7.915%,3.322%,-5.714%,-9.714%,-3.077%,-20.799%,0.340%
-13.656%,-10.654%,2.272%,-1.907%,-0.874%,24.113%,6.885%
5.873%,5.491%,26.083%,18.976%,18.086%,28.363%,6.688%
-0.009%,4.010%,-12.690%,-0.216%,4.659%,2.162%,5.312%
3.683%,-1.564%,-7.176%,-12.666%,2.312%,-3.496%,1.284%
6.614%,5.674%,2.391%,-1.346%,4.427%,-3.046%,4.052%